
12,,,,,,,,,,,,,,,,,,

,,,,,,,1,2,3,,,,,,,,,
,,,,,,,10,20,30,,,,,,,,,




,,1,,,,,,,,,,,,,,,,























,,,aspose,,,,,,,,,,,,,,,
,,,aspose1,,,,,,,,,,,,,,,
,,,aspose2,,,,,,,,,,,,,,,
,,,aspose3,,,,,,,,,,,,,,,
,,,aspose4,,,,,,,,,,,,,,,



,,,,,&=Person.Name,&=Person.Age

,,,,9/4/2024 20:17,,




,,,,"   Hi,     RoY   Wang.  hellow  word!     









",,
q,a
sd,b
d,s
a,d
c,e
as,a
d,g
a,b
1,3
2,4
3,5
4,6
Day,Time,char,number
12/1/2012,10:10,a,1
12/2/2012,11:10,b,2
12/3/2012,12:10,c,3
12/4/2012,13:10,d,4
12/5/2012,14:10,e,5
12/6/2012,15:10,f,6
12/7/2012,16:10,h,7
12/8/2012,17:10,i,8
12/9/2012,18:10,g,9
12/10/2012,19:10,k,10
12/11/2012,20:10,i,11
12/12/2012,21:10,l,12
12/13/2012,22:10,m,13
12/14/2012,23:10,n,14
12/15/2012,0:10,o,15
1,2,3
4,5,6
Column1,Column2,Column3,Column4,Column5,Column6,Column7,,,,,,,
1,1,1,1,1,1,1,,,,,,,
2,2,2,2,2,2,2,,,,,,,
3,3,3,3,3,3,3,,,,Column1,Column2,Column3,Column4
4,4,4,4,4,4,4,,,,,,,
5,5,5,5,5,5,5,,,,,,,
6,6,6,6,6,6,6,,,,,,,
7,7,7,7,7,7,7,,,,,,,
8,8,8,8,8,8,8,,,,,,,
9,9,9,9,9,9,9,,,,,,,
10,10,10,10,10,10,10,,,,,,,
11,11,11,11,11,11,11,,,,,,,
12,12,12,12,12,12,12,,,,,,,
13,13,13,13,13,13,13,,,,,,,
14,14,14,14,14,14,14,,,,,,,
15,15,15,15,15,15,15,,,,,,,
16,16,16,16,16,16,16,,,,,,,
17,17,17,17,17,17,17,,,,,,,
18,18,18,18,18,18,18,,,,,,,
19,19,19,19,19,19,19,,,,,,,
20,20,20,20,20,20,20,,,,,,,
